,ene_cost,penalty,sum
70,-0.0009683211034475493,-92.9868956477776,-92.98786396888104
71,-9.292066365968686e-05,-0.0,-9.292066365968686e-05
72,-0.0003762085580307999,-0.0,-0.0003762085580307999
73,-0.0003738165759209308,-0.0,-0.0003738165759209308
74,-0.00038330532315026015,-0.0,-0.00038330532315026015
75,-7.885446025268246e-10,-53.3849150159881,-53.384915016776645
76,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
77,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
78,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
79,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
80,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
81,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
82,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
83,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
84,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
85,-0.00043022020593374335,-0.0,-0.00043022020593374335
86,-3.531397259266937e-05,-0.0,-3.531397259266937e-05
87,-0.0003811858217937689,-0.0,-0.0003811858217937689
88,-3.34511759680561e-05,-0.0,-3.34511759680561e-05
89,-0.00038016125514787717,-0.0,-0.00038016125514787717
90,-0.0003844172842923823,-0.0,-0.0003844172842923823
91,-3.794100988720449e-05,-0.0,-3.794100988720449e-05
92,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
93,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
94,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
95,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
96,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
97,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
98,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
99,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
100,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
101,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
102,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
103,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
104,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
105,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
106,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
107,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
108,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
109,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
110,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
111,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
112,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
113,-1.6352480624328095e-05,-0.0,-1.6352480624328095e-05
114,-7.603030641957664e-14,-0.0,-7.603030641957664e-14
115,-2.79244910069041e-15,-0.0,-2.79244910069041e-15
116,-1.3286056144785685e-13,-0.0,-1.3286056144785685e-13
117,-1.9869847325613214e-15,-0.0,-1.9869847325613214e-15
118,-8.961658948182394e-14,-0.0,-8.961658948182394e-14
119,-9.338457732080286e-16,-0.0,-9.338457732080286e-16
120,-1.8420948958868397e-13,-0.0,-1.8420948958868397e-13
121,-6.319207328438728e-14,-0.0,-6.319207328438728e-14
122,-4.925327563357987e-13,-0.0,-4.925327563357987e-13
123,-9.80030919724431e-15,-0.0,-9.80030919724431e-15
124,-4.829629178789016e-16,-805.5994777202841,-805.5994777202841
125,-5.782013566587523e-16,-723.9925015635663,-723.9925015635663
126,-2.810395358788703e-14,-631.0172020376513,-631.0172020376513
127,-3.032750400606727e-15,-528.477707647653,-528.477707647653
128,-1.3882050473670846e-13,-418.0605403285085,-418.06054032850864
129,-1.2311949239748602e-14,-167.3619104310319,-167.3619104310319
130,-1.3315714060906148e-09,-0.0,-1.3315714060906148e-09
131,-1.928464696733701e-09,-0.0,-1.928464696733701e-09
132,-0.0003806869915761403,-0.0,-0.0003806869915761403
133,-2.49718922147186e-11,-296.72044438134435,-296.7204443813693
134,-0.00038283695866730993,-0.0,-0.00038283695866730993
135,-3.5659046152394954e-05,-86.7493281199927,-86.74936377903884
136,-3.5580614260257915e-05,-0.0,-3.5580614260257915e-05
137,-0.0003794784760515555,-0.0,-0.0003794784760515555
138,-0.00038400222240815877,-0.0,-0.00038400222240815877
139,-0.000385942928661682,-0.0,-0.000385942928661682
140,-0.00038687130314441387,-0.0,-0.00038687130314441387
141,-0.00037765514141910637,-0.0,-0.00037765514141910637
142,-0.00045622768973969485,-0.0,-0.00045622768973969485
143,-0.00040303255660722407,-0.0,-0.00040303255660722407
144,-0.0009819416628124534,-0.0,-0.0009819416628124534
145,-0.0011804461835152186,-11.51887054721783,-11.520050993401345
146,-0.0012416131212749626,-33.121332507425905,-33.12257412054718
147,-0.001460591191392026,-73.09423582444197,-73.09569641563336
148,-0.0014740112769867553,-70.97923820048209,-70.98071221175907
149,-0.0015020872542645621,-95.4545839312459,-95.45608601850017
150,-0.0014520547464019,-108.7174103577695,-108.7188624125159
151,-0.0014335890603057579,-128.6640397072233,-128.6654732962836
152,-0.0013662513571092538,-135.54509151686034,-135.54645776821744
153,-0.0013113795087029978,-143.395303968191,-143.3966153476997
154,-0.001219916560500548,-141.82257968143404,-141.82379959799454
155,-0.0011356907472016868,-140.7086945370679,-140.7098302278151
156,-0.001027027449263522,-131.52665436365396,-131.52768139110321
157,-0.0009736883706223306,-123.24198908013386,-123.24296276850448
158,-0.000973978549488253,-97.93316273595565,-97.93413671450513
159,-0.0009760141185859868,-54.49536975877436,-54.496345772892944
160,-0.0009735127482861941,-8.079920388092887,-8.080893900841174
161,-0.0009789708118393755,-0.0,-0.0009789708118393755
162,-0.0009726299582816597,-0.0,-0.0009726299582816597
163,-0.0010119963629976014,-0.0,-0.0010119963629976014
164,-0.00097105281893523,-0.0,-0.00097105281893523
165,-0.0009421767200436624,-0.0,-0.0009421767200436624
166,-0.0009827965699631233,-0.0,-0.0009827965699631233
167,-8.682386673884455e-05,-0.0,-8.682386673884455e-05
168,-0.0003841092887882332,-16.980560120521204,-16.980944229809992
169,-3.4334612771157736e-05,-0.0,-3.4334612771157736e-05
170,-3.586649576955608e-05,-0.0,-3.586649576955608e-05
171,-3.8749107603336083e-05,-0.0,-3.8749107603336083e-05
172,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
173,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
174,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
175,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
176,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
177,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
178,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
179,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
180,-3.626528427612381e-05,-0.0,-3.626528427612381e-05
181,-0.00043022020593374335,-0.0,-0.00043022020593374335
182,-3.531397259266937e-05,-0.0,-3.531397259266937e-05
183,-0.0003811858217937689,-0.0,-0.0003811858217937689
184,-3.34511759680561e-05,-0.0,-3.34511759680561e-05
185,-0.00038016125514787717,-0.0,-0.00038016125514787717
186,-0.0003844172842923823,-0.0,-0.0003844172842923823
187,-3.794100988720449e-05,-0.0,-3.794100988720449e-05
188,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
189,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
190,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
191,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
192,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
193,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
194,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
195,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
196,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
197,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
198,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
199,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
200,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
201,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
202,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
203,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
204,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
205,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
