,ene_cost,penalty,sum
131,-3.0391983182161784e-05,-356.90312054595097,-356.90315093793413
132,-3.0391983182161784e-05,-228.7190407685216,-228.7190711605048
133,-3.0391983182161784e-05,-91.97606429239613,-91.97609468437932
134,-3.0391983182161784e-05,-0.0,-3.0391983182161784e-05
135,-3.0391983182161784e-05,-0.0,-3.0391983182161784e-05
136,-3.0391983182161784e-05,-0.0,-3.0391983182161784e-05
137,-7.868958451046316e-05,-0.0,-7.868958451046316e-05
138,-0.0001547547779017516,-0.0,-0.0001547547779017516
139,-0.0002660597733494167,-0.0,-0.0002660597733494167
140,-0.00041211636508389874,-0.0,-0.00041211636508389874
141,-0.0005892196513151467,-0.0,-0.0005892196513151467
142,-0.0007923960533450863,-0.0,-0.0007923960533450863
143,-0.001009283453718078,-0.0,-0.001009283453718078
144,-0.003113881980227526,-0.0,-0.003113881980227526
145,-0.0035932088463079765,-0.0,-0.0035932088463079765
146,-0.003996838296562388,-0.0,-0.003996838296562388
147,-0.004302735684997131,-0.0,-0.004302735684997131
148,-0.004495274032258584,-0.0,-0.004495274032258584
149,-0.004565152463927429,-0.0,-0.004565152463927429
150,-0.004537384372793373,-0.0,-0.004537384372793373
151,-0.004429809872849297,-0.0,-0.004429809872849297
152,-0.004242958327042447,-0.0,-0.004242958327042447
153,-0.003981469091422687,-0.0,-0.003981469091422687
154,-0.003669722403133054,-0.0,-0.003669722403133054
155,-0.0033146049056778284,-0.0,-0.0033146049056778284
156,-0.002931895721226426,-0.0,-0.002931895721226426
157,-0.0025534948395531786,-0.0,-0.0025534948395531786
158,-0.0021999280726450166,-0.0,-0.0021999280726450166
159,-0.0018935662199202452,-0.0,-0.0018935662199202452
160,-0.0016370558230119118,-0.0,-0.0016370558230119118
161,-0.0014146759256762655,-0.0,-0.0014146759256762655
162,-0.0012202015227523587,-0.0,-0.0012202015227523587
163,-0.0010472948723596793,-0.0,-0.0010472948723596793
164,-0.0008876343469540665,-0.0,-0.0008876343469540665
165,-0.0007425661434521624,-0.0,-0.0007425661434521624
166,-0.0006096612300675884,-0.0,-0.0006096612300675884
167,-0.0004886599010874022,-0.0,-0.0004886599010874022
168,-0.00014746543313943176,-0.0,-0.00014746543313943176
169,-6.673179112346449e-05,-0.0,-6.673179112346449e-05
170,-3.960582095982785e-05,-0.0,-3.960582095982785e-05
171,-3.0391983182161784e-05,-0.0,-3.0391983182161784e-05
172,-7.236186472076996e-06,-0.0,-7.236186472076996e-06
173,-0.0,-0.0,0.0
174,-0.0,-0.0,0.0
175,-0.0,-0.0,0.0
176,-0.0,-0.0,0.0
177,-0.0,-0.0,0.0
178,-0.0,-0.0,0.0
179,-0.0,-0.0,0.0
180,-0.0,-0.0,0.0
181,-0.0,-0.0,0.0
182,-0.0,-0.0,0.0
183,-0.0,-0.0,0.0
184,-0.0,-0.0,0.0
185,-0.0,-0.0,0.0
186,-0.0,-0.0,0.0
187,-0.0,-0.0,0.0
188,-0.0,-0.0,0.0
189,-0.0,-0.0,0.0
190,-0.0,-0.0,0.0
191,-0.0,-0.0,0.0
192,-0.0,-0.0,0.0
193,-0.0,-0.0,0.0
194,-0.0,-0.0,0.0
195,-0.0,-0.0,0.0
196,-0.0,-0.0,0.0
197,-0.0,-0.0,0.0
198,-0.0,-0.0,0.0
199,-0.0,-0.0,0.0
200,-0.0,-0.0,0.0
201,-0.0,-0.0,0.0
202,-0.0,-0.0,0.0
203,-0.0,-0.0,0.0
204,-0.0,-0.0,0.0
205,-0.0,-0.0,0.0
206,-0.0,-0.0,0.0
207,-0.0,-0.0,0.0
208,-0.0,-0.0,0.0
209,-0.0,-0.0,0.0
210,-0.0,-0.0,0.0
211,-0.0,-0.0,0.0
212,-0.0,-0.0,0.0
213,-0.0,-0.0,0.0
214,-0.0,-0.0,0.0
215,-0.0,-0.0,0.0
216,-0.0,-0.0,0.0
217,-0.0,-0.0,0.0
218,-0.0,-0.0,0.0
219,-0.0,-0.0,0.0
220,-1.265162149517943e-05,-874.4523955800219,-874.4524082316434
221,-1.3983371126228283e-05,-991.3646465557008,-991.3646605390719
222,-1.3983371126228283e-05,-962.3174643574885,-962.3174783408596
223,-1.3983371126228283e-05,-903.932702977022,-903.9327169603931
224,-3.0391983182161784e-05,-829.0772351909254,-829.0772655829086
225,-3.0391983182161784e-05,-659.4934885605198,-659.493518952503
