,PTot,TRoo,time
77,137.75510204081638,294.90818386433705,18386100.0
78,5.231953892668184,295.6430512633285,18387000.0
79,40.81632653061228,295.5690680050682,18387900.0
80,5.231953892668184,295.52628890529473,18388800.0
81,0.0,295.37093575076267,18389700.0
82,326.53061224489824,295.16826498789294,18390600.0
83,0.0,295.47671328542384,18391500.0
84,0.0,294.948538051483,18392400.0
85,326.53061224489824,294.6715389715872,18393300.0
86,326.53061224489824,294.97436846669575,18394200.0
87,0.0,294.8533788708224,18395100.0
88,0.0,294.3099604288958,18396000.0
89,326.53061224489824,294.0299131298645,18396900.0
90,5.231953892668184,294.25363338403656,18397800.0
91,5.231953892668184,293.79856737139204,18398700.0
92,326.53061224489824,293.46587494793334,18399600.0
93,0.0,293.49961483930446,18400500.0
94,5.231953892668184,293.1157732786114,18401400.0
95,0.0,292.9167471477512,18402300.0
96,326.53061224489824,292.6614502530566,18403200.0
97,5.231953892668184,292.72948333978496,18404100.0
98,40.81632653061228,292.3813259699055,18405000.0
99,326.53061224489824,292.0795161788111,18405900.0
100,40.81632653061228,292.2753922235451,18406800.0
101,137.75510204081638,291.92191518554637,18407700.0
102,5.231953892668184,291.7958995578579,18408600.0
103,40.81632653061228,291.58317473395783,18409500.0
104,0.0,291.4029446863488,18410400.0
105,137.75510204081638,291.2710419127756,18411300.0
106,40.81632653061228,291.31171640569937,18412200.0
107,137.75510204081638,291.1257048499767,18413100.0
108,326.53061224489824,291.1360393000489,18414000.0
109,40.81632653061228,291.4295590734269,18414900.0
110,137.75510204081638,291.00942147397416,18415800.0
111,40.81632653061228,290.8480789533061,18416700.0
112,5.231953892668184,290.56435261526514,18417600.0
113,137.75510204081638,290.3482266338859,18418500.0
114,0.0,290.31503838095404,18419400.0
115,326.53061224489824,290.09201426707796,18420300.0
116,0.0,290.5005317678373,18421200.0
117,137.75510204081638,290.0471390079648,18422100.0
118,5.231953892668184,290.26868072261504,18423000.0
119,40.81632653061228,290.0982148838773,18423900.0
120,137.75510204081638,290.1477501255266,18424800.0
