,P_tot,T_oa,T_roo,mass_flow,speed,T_roo_1,T_roo_2,T_roo_3,T_roo_4
18339300.0,1.0329897771658365,290.47430296296295,288.5451912693564,0.07997842821236234,0.1066379042831498,288.45488541983536,288.3695762487595,288.4041873603688,288.4387984719782
18340200.0,1.1141270637865348,290.66685481481477,288.63549711887754,0.08251844260642477,0.11002459014189968,288.5451912693564,288.45488541983536,288.3695762487595,288.4041873603688
18341100.0,1.1952643504072331,290.85940666666664,288.7258029683987,0.08505845700048717,0.11341127600064956,288.63549711887754,288.5451912693564,288.45488541983536,288.3695762487595
18342000.0,1.2764016370279314,291.05195851851846,288.8161088179197,0.0875984713945496,0.11679796185939945,288.7258029683987,288.63549711887754,288.5451912693564,288.45488541983536
18342900.0,17.085688279003588,291.21899777777776,288.8892540780586,0.10978409842827894,0.14637879790437192,288.8161088179197,288.7258029683987,288.63549711887754,288.5451912693564
18343800.0,95.80757234239904,291.28398666666664,288.89375698066857,0.210552176020676,0.2807362346942347,288.8892540780586,288.8161088179197,288.7258029683987,288.63549711887754
18344700.0,174.52945640579452,291.3489755555555,288.8982598832785,0.31132025361307314,0.4150936714840975,288.89375698066857,288.8892540780586,288.8161088179197,288.7258029683987
18345600.0,253.25134046918998,291.41396444444445,288.90276278588846,0.4120883312054702,0.5494511082739603,288.8982598832785,288.89375698066857,288.8892540780586,288.8161088179197
18346500.0,331.97322453258545,291.4789533333333,288.9072656884985,0.5128564087978673,0.683808545063823,288.90276278588846,288.8982598832785,288.89375698066857,288.8892540780586
18347400.0,410.6951085959809,291.5439422222222,288.91176859110834,0.6136244863902645,0.8181659818536858,288.9072656884985,288.90276278588846,288.8982598832785,288.89375698066857
18348300.0,444.8996121737156,291.9439161481482,289.07180128986363,0.6646523393070646,0.8862031190760861,288.91176859110834,288.9072656884985,288.90276278588846,288.8982598832785
18349200.0,422.4456314969729,292.7702346666666,289.42978100189475,0.6523744517276504,0.8698326023035339,289.07180128986363,288.91176859110834,288.9072656884985,288.90276278588846
18350100.0,399.99165082023,293.5965531851852,289.7877607139259,0.6400965641482363,0.8534620855309818,289.42978100189475,289.07180128986363,288.91176859110834,288.9072656884985
18351000.0,377.53767014348733,294.42287170370366,290.145740425957,0.6278186765688222,0.8370915687584296,289.7877607139259,289.42978100189475,289.07180128986363,288.91176859110834
18351900.0,355.08368946674454,295.2491902222222,290.50372013798807,0.6155407889894079,0.8207210519858774,290.145740425957,289.7877607139259,289.42978100189475,289.07180128986363
18352800.0,332.62970879000176,296.0755087407407,290.8616998500192,0.603262901409994,0.8043505352133252,290.50372013798807,290.145740425957,289.7877607139259,289.42978100189475
18353700.0,295.9629603791087,296.7407327407407,291.267751994084,0.5720968455369222,0.7627957940492297,290.8616998500192,290.50372013798807,290.145740425957,289.7877607139259
18354600.0,252.6078506815568,297.33014755555547,291.6964264591058,0.5320422398785999,0.7093896531714665,291.267751994084,290.8616998500192,290.50372013798807,290.145740425957
18355500.0,209.25274098400487,297.9195623703704,292.1251009241277,0.4919876342202776,0.6559835122937034,291.6964264591058,291.267751994084,290.8616998500192,290.50372013798807
18356400.0,165.8976312864529,298.5089771851852,292.5537753891496,0.4519330285619553,0.6025773714159404,292.1251009241277,291.6964264591058,291.267751994084,290.8616998500192
18357300.0,122.54252158890101,299.098392,292.9824498541715,0.41187842290363297,0.5491712305381773,292.5537753891496,292.1251009241277,291.6964264591058,291.267751994084
