,speed,mass_flow,T_oa,T_sa,T_roo,P_tot
17425.0,0.6569486157524417,0.2627794463009767,291.65508296666945,286.1398529761607,293.00465022554334,98.13657757178072
17426.0,0.5371689380843415,0.2148675752337366,291.8627794137418,286.16025036369916,293.41405217381913,52.931192660803255
17427.0,0.5858379218647571,0.23433516874590288,292.0153027055324,286.15614885169265,293.6312969190168,68.57844734349185
17428.0,0.6268506515655747,0.25074026062622995,292.00201971321826,286.1521302315228,293.6553646558756,83.80140553244097
17429.0,0.5195718181450732,0.20782872725802934,291.75593520096083,286.13707921014316,293.83499652020595,54.36657250944608
17430.0,0.3784683916866732,0.15138735667466927,291.39303242751913,286.1524560286396,294.5696497519847,31.17086959453416
17431.0,0.7329826572147893,0.29319306288591573,291.0678805415697,286.156884480849,293.91703878261615,156.23896932949435
17432.0,0.2857106182442656,0.11428424729770624,290.918506745513,286.13330422751534,294.63082479377704,11.899606849878994
17433.0,0.590723861155526,0.23628954446221043,290.94087247200065,286.16505772257966,294.50759481047345,71.66844722631512
17434.0,0.6706709207623479,0.2682683683049392,291.01500169492914,286.1590751473099,294.094406187493,108.19272709602137
17435.0,0.7905824393932404,0.3162329757572961,291.01293566674235,286.14833293499186,293.4609263763039,182.20321122501846
17436.0,0.5138448555114441,0.20553794220457766,290.81136905344914,286.14213831762817,293.80419529203976,55.49000478848605
17437.0,0.7519548992649204,0.30078195970596816,290.3884121531865,286.14541560036736,293.2691704393626,170.1513847474304
17438.0,0.19512962469699113,0.07805184987879646,289.87501898438285,286.12566542574444,294.0102962618874,4.750233020049384
17439.0,0.20643467382648664,0.08257386953059466,289.4253260097529,286.1515598966708,294.67185578111855,3.17461934237124
17440.0,0.24771217449813143,0.09908486979925257,289.14439293542443,286.1496267241108,294.7205418972617,5.273774953704441
17441.0,0.1551061395574666,0.062042455822986654,288.94409354246693,286.14550806180506,294.8695688369159,1.6500632659073033
17442.0,0.07089666383275817,0.028358665533103268,288.80254113697964,286.1537023158677,295.2942388707948,0.2576241609977021
17443.0,0.19393382855962754,0.07757353142385102,288.7443912709133,286.15470883817756,295.23869251226137,3.0973822120300416
17444.0,0.29907942805706,0.11963177122282402,288.7925441386669,286.1524337395596,294.66784155266225,9.270253832927649
17445.0,0.2662751002506324,0.10651004010025297,288.93395395507497,286.151168487068,294.3769450089894,6.861773203091854
17446.0,0.32691906522344616,0.13076762608937847,289.10223873124943,286.15095965894324,293.9638172019001,12.940924778065215
17447.0,0.13257878754593344,0.05303151501837338,289.2228802027117,286.1433676243669,294.1443314652048,1.1423239067608149
17448.0,0.11254724039843915,0.04501889615937567,289.2499741885016,286.15099455813765,294.363838110721,0.7254098384377766
17449.0,0.26299558748274987,0.10519823499309995,289.25,286.1575194865816,293.94089320216625,7.339015151837428
17450.0,0.3829726902499023,0.15318907609996094,289.25,286.1516043802188,293.11041166888106,19.735357111098647
17451.0,0.19522269783827584,0.07808907913531035,289.25,286.14642916947474,292.86148037183887,3.6059211905629667
17452.0,0.01538467885590466,0.006153871542361865,289.25,286.9233993755905,293.197965075566,0.04252774450810119
17453.0,0.0,0.0,289.25,287.671886050996,293.48449571793066,0.0
17454.0,0.0,0.0,289.25,287.97018603739156,293.5933611959373,0.0
17455.0,0.0,0.0,289.25,288.07944689089646,293.6032945016516,0.0
17456.0,0.0,0.0,289.25,288.11926301427843,293.55662492068325,0.0
17457.0,0.0,0.0,289.25,288.1337227783402,293.4776594041774,0.0
17458.0,0.0,0.0,289.25,288.13891067922515,293.38087142742665,0.0
17459.0,0.0,0.0,289.25002198551846,288.14087763026396,293.2735870671828,0.0
17460.0,0.0,0.0,289.30683935962537,288.1415929155112,293.15927196120236,0.0
17461.0,0.0,0.0,289.59060516616194,288.14184303991595,293.04586129408705,0.0
17462.0,0.0,0.0,289.9843417685401,288.14192997773205,292.9424425668761,0.0
17463.0,0.0,0.0,290.2817806168805,288.1419601142658,292.8511007870894,0.0
17464.0,0.0,0.0,290.3497828524532,288.141970489575,292.7667335367179,0.0
17465.0,0.0,0.0,290.34999999999997,288.141974082472,292.6843176997836,0.0
17466.0,0.0,0.0,290.34999999999997,288.14197540764593,292.6034430459016,0.0
17467.0,0.0,0.0,290.34999999999997,288.141975895268,292.5244929260612,0.0
17468.0,0.0,0.0,290.34999999999997,288.14197607542815,292.4476220112685,0.0
17469.0,0.0,0.0,290.34999999999997,288.1419761399932,292.3728753098458,0.0
17470.0,0.0,0.0,290.34999999999997,288.1419761630006,292.3002533254998,0.0
17471.0,0.0,0.0,290.34999999999997,288.1419761712267,292.2297464380605,0.0
17472.0,0.0,0.0,290.34999999999997,288.14197617408786,292.1613657927649,0.0
17473.0,0.0,0.0,290.34999999999997,288.141976175123,292.09501928451687,0.0
