,PCoo.y,TRoo
18439200.0,302.1312877459712,296.9273569416074
18440100.0,359.0357294276914,297.15071780525307
18441000.0,425.67873165749995,297.1506806340652
18441900.0,500.4978129428441,297.1506377775953
18442800.0,581.4047918405687,297.15058327220305
18443700.0,671.2065404789255,297.1505417391845
18444600.0,774.4307299823291,297.1504939348655
18445500.0,884.3315243341082,297.15043253941195
18446400.0,987.3393478287218,297.1503525733134
18447300.0,1074.2598048000386,297.1502784799725
18448200.0,1149.771716347977,297.1502100836779
18449100.0,1210.8879865720917,297.15014081611145
18450000.0,1252.066183868454,297.15007342266034
18450900.0,1271.2134251525633,297.15000950496074
18451800.0,1274.7487411193003,297.14996644001025
18452700.0,1261.4336775452875,297.1499231579981
18453600.0,1226.763238224792,297.1498756182332
18454500.0,1174.668875630015,297.1498355558564
18455400.0,1117.3367621255252,297.1497992608403
18456300.0,1055.8045268722014,297.1497592436439
18457200.0,991.1857069739972,297.14972820067453
18458100.0,928.1244604102804,297.14971725820584
18459000.0,869.0565322747908,297.14971282880725
18459900.0,814.5617285091184,297.1497346208939
18460800.0,763.2986281417257,297.1497520433353
18461700.0,711.8344418436335,297.14976063243853
18462600.0,660.8807809945328,297.14976812313705
18463500.0,612.4729928079047,297.1497645343953
18464400.0,567.493408024231,297.14975882189304
18465300.0,527.1001713632212,297.1497517298313
18466200.0,490.21585910099265,297.14973770720246
18467100.0,456.1491001083259,297.1497172423281
18468000.0,423.29601435489286,297.149682570083
18468900.0,354.7479168178788,297.14956228696025
18469800.0,320.6462205746488,297.14957398798225
18470700.0,304.5289712080286,297.0451164925024
18471600.0,71.3742087992938,296.7657138084674
18472500.0,0.0,298.28138246747125
18473400.0,0.0,298.38740592077494
18474300.0,0.0,298.218738159012
18475200.0,0.0,297.9692311953545
18476100.0,0.0,297.6887077573607
18477000.0,0.0,297.3922619348353
18477900.0,0.0,297.0850172478223
18478800.0,0.0,296.7690574031778
18479700.0,0.0,296.45548287109824
18480600.0,0.0,296.17578143034444
18481500.0,0.0,295.93483469624806
18482400.0,0.0,295.7108781664173
18483300.0,0.0,295.47438025629754
18484200.0,0.0,295.22185094036325
18485100.0,0.0,294.9610241554959
18486000.0,0.0,294.7030348827134
18486900.0,0.0,294.4609826946882
18487800.0,0.0,294.23866028366564
18488700.0,0.0,294.03058935244735
18489600.0,0.0,293.8281782908429
18490500.0,0.0,293.62335975790523
18491400.0,0.0,293.4169789020136
18492300.0,0.0,293.21124310502216
18493200.0,0.0,293.0080880663001
18494100.0,0.0,292.8097100816533
18495000.0,0.0,292.6171592484652
18495900.0,0.0,292.4296542796946
18496800.0,0.0,292.24539132685226
18497700.0,0.0,292.058781837846
18498600.0,0.0,291.85997768623463
18499500.0,0.0,291.65230718454615
18500400.0,0.0,291.4490822021863
18501300.0,0.0,291.26371432955256
18502200.0,0.0,291.0912466802686
18503100.0,0.0,290.9275621841228
18504000.0,0.0,290.7715461457257
18504900.0,0.0,290.6227331183917
18505800.0,0.0,290.4808456497562
18506700.0,0.0,290.34574489631143
18507600.0,0.0,290.21986151454485
18508500.0,0.0,290.1103635129065
18509400.0,0.0,290.02636593337013
18510300.0,0.0,289.9807120840837
18511200.0,0.0,289.9923479043587
18512100.0,0.0,290.0761502520351
18513000.0,0.0,290.2414462230808
18513900.0,0.0,290.4822518958901
18514800.0,40.71632822562068,290.77412888666015
18515700.0,963.1980963020227,290.2079508194247
18516600.0,1415.0442691512135,290.3720538980628
18517500.0,1615.178728163521,290.6585645765802
18518400.0,1701.8373890445419,291.0404021845112
18519300.0,1776.3948204117582,291.91190690623415
18520200.0,1860.067537850646,292.5613129809882
18521100.0,1883.1848927528279,293.23944592618415
18522000.0,615.3682922043204,293.82643118299745
18522900.0,373.09288151690635,294.59077740951295
18523800.0,321.20904527820056,295.3727701486669
18524700.0,313.22291355754174,296.1721419576789
18525600.0,318.4813625891816,296.9937315737663
18526500.0,392.94796173353564,297.15076092633245
18527400.0,473.44337514930356,297.15072561475137
18528300.0,562.3256114327821,297.1506642203642
