,PCoo.y,TRoo
18382500.0,374.4326138857281,296.26305283153874
18383400.0,302.9427160100757,296.9914567644017
18384300.0,298.548811313921,296.79342508144816
18385200.0,301.5826449338498,295.9595005914927
18386100.0,0.0,297.8593575383598
18387000.0,0.0,296.0282715739419
18387900.0,287.8381645266128,295.2744005240163
18388800.0,912.3123250874276,289.70578789563405
18389700.0,340.8044294796746,291.8183637941297
18390600.0,0.0,294.6009285752748
18391500.0,0.0,293.72768513275463
18392400.0,0.0,294.49527865792163
18393300.0,0.0,294.5656986941548
18394200.0,0.0,294.4640211683612
18395100.0,0.0,294.3078855498426
18396000.0,0.0,294.1340392728654
18396900.0,0.0,293.9503103335478
18397800.0,0.0,293.7604937254732
18398700.0,0.0,293.56650398530354
18399600.0,0.0,293.3692903156957
18400500.0,0.0,293.1679761915388
18401400.0,0.0,292.959669398385
18402300.0,0.0,292.7490354545092
18403200.0,0.0,292.54650686360077
18404100.0,0.0,292.36132447061675
18405000.0,0.0,292.1882711728015
18405900.0,0.0,292.0234817428906
18406800.0,0.0,291.8658676890306
18407700.0,0.0,291.714865686881
18408600.0,0.0,291.5690713988821
18409500.0,0.0,291.42728809483106
18410400.0,0.0,291.2895851882381
18411300.0,0.0,291.15741953996775
18412200.0,0.0,291.03145649382185
18413100.0,0.0,290.9115272038492
18414000.0,0.0,290.79745824530335
18414900.0,0.0,290.6841713824138
18415800.0,0.0,290.5569122085889
18416700.0,0.0,290.41478210000616
18417600.0,0.0,290.2676030175405
18418500.0,0.0,290.12737255973286
18419400.0,0.0,289.9936784742014
18420300.0,0.0,289.86924088400093
18421200.0,0.0,289.76398984049763
18422100.0,0.0,289.6916109195516
18423000.0,0.0,289.65745040759634
18423900.0,0.0,289.669362319694
18424800.0,0.0,289.74593531619075
18425700.0,0.0,289.9010814879248
18426600.0,0.0,290.1399400524081
18427500.0,0.0,290.45355091649316
18428400.0,0.0,290.8201574267078
18429300.0,957.9642464396543,290.1958371204805
18430200.0,1447.8190819661659,290.3879363154626
18431100.0,1666.3086576629482,290.71110258907083
18432000.0,1752.642739301912,291.09738421328416
18432900.0,1809.907848773031,292.0067926679147
18433800.0,1859.448670453461,292.6306053800097
18434700.0,1795.2054890910194,293.25374995600845
18435600.0,575.5336179080476,293.81468968554975
18436500.0,355.2182920370262,294.5159607704381
18437400.0,306.62586398581306,295.2491634516265
18438300.0,298.0348696327793,296.0036817148675
18439200.0,388.8311102099146,295.47778601268925
18440100.0,427.2632781221249,295.7714121113329
18441000.0,563.0648131438257,295.15070529636677
18441900.0,642.5786140247353,295.1663462887243
