,speed,mass_flow,T_oa,T_roo,P_tot,T_roo_1
18397800.0,0.1,0.07500000000000001,291.69999999999993,290.6063368051068,0.8739606953892677,290.79346579741656
18398700.0,0.1,0.07500000000000001,291.42344068266664,290.4222974330326,0.8739606953892677,290.6063368051068
18399600.0,0.1,0.07500000000000001,291.14946131911114,290.2414609474403,0.8739606953892677,290.4222974330326
18400500.0,0.1,0.07500000000000001,290.84132672,290.0625115818291,0.8739606953892677,290.2414609474403
18401400.0,0.1,0.07500000000000001,290.515268736,289.8836431374434,0.8739606953892677,290.0625115818291
18402300.0,0.1,0.07500000000000001,290.25620128,289.7082627112456,0.8739606953892677,289.8836431374434
18403200.0,0.1,0.07500000000000001,290.15072755200003,289.5429504134479,0.8739606953892677,289.7082627112456
18404100.0,0.1,0.07500000000000001,290.15,289.392043767614,0.8739606953892677,289.5429504134479
18405000.0,0.1,0.07500000000000001,290.15,289.25209577548685,0.8739606953892677,289.392043767614
18405900.0,0.1,0.07500000000000001,290.15,289.12169005587884,0.8739606953892677,289.25209577548685
18406800.0,0.1,0.07500000000000001,290.15,289.0000837274589,0.8739606953892677,289.12169005587884
18407700.0,0.1,0.07500000000000001,290.15,288.88659380402237,0.8739606953892677,289.0000837274589
18408600.0,0.1,0.07500000000000001,290.15,288.7797206835293,0.8739606953892677,288.88659380402237
18409500.0,0.1,0.07500000000000001,290.15,288.6782809158078,0.8739606953892677,288.7797206835293
18410400.0,0.1,0.07500000000000001,290.15,288.5817912187128,0.8739606953892677,288.6782809158078
18411300.0,0.1,0.07500000000000001,290.15,288.49119192571135,0.8739606953892677,288.5817912187128
18412200.0,0.1,0.07500000000000001,290.15,288.4068056387718,0.8739606953892677,288.49119192571135
18413100.0,0.1,0.07500000000000001,290.15,288.32872527653166,0.8739606953892677,288.4068056387718
18414000.0,0.1,0.07500000000000001,290.15,288.2562723397465,0.8739606953892677,288.32872527653166
18414900.0,0.1,0.07500000000000001,290.0154187519999,288.1848565328591,0.8739606953892677,288.2562723397465
18415800.0,0.1,0.07500000000000001,289.712405888,288.10331252429506,0.8739606953892677,288.1848565328591
18416700.0,0.1,0.07500000000000001,289.37768767999995,288.01243180606696,0.8739606953892677,288.10331252429506
18417600.0,0.1,0.07500000000000001,289.1508667591111,287.92084197660375,0.8739606953892677,288.01243180606696
18418500.0,0.1,0.07500000000000001,289.03327296,287.8365526119394,0.8739606953892677,287.92084197660375
18419400.0,0.1,0.07500000000000001,288.96302272,287.75803236581913,0.8739606953892677,287.8365526119394
18420300.0,0.1,0.07500000000000001,288.9871904,287.68755964043214,0.8739606953892677,287.75803236581913
18421200.0,0.1,0.07500000000000001,289.15102582044443,287.63230306184937,0.8739606953892677,287.68755964043214
18422100.0,0.1,0.07500000000000001,289.4,287.602743723778,0.8739606953892677,287.63230306184937
18423000.0,0.1,0.07500000000000001,289.65,287.604062623005,0.8739606953892677,287.602743723778
18423900.0,0.1,0.07500000000000001,289.9,287.64286940738566,0.8739606953892677,287.604062623005
18424800.0,0.4755497509523586,0.2880928362156058,290.149812608,287.5790249157742,62.23253780067272,287.64286940738566
18425700.0,0.7709526858352377,0.42534222070376543,290.37650112,287.06597785834686,129.01308508241542,287.5790249157742
18426600.0,0.5770263858744595,0.485743228621099,290.58779814400003,286.99521948535585,197.700488918182,287.06597785834686
