,uFan,PTot,TRoo
17385600.0,0.0,0.0,296.4930288787605
17385660.0,0.0,0.0,296.4938729318887
17385720.0,0.0,0.0,296.4947903791709
17385780.0,0.0,0.0,296.4957806689425
17385840.0,0.0,0.0,296.496843044241
17385900.0,0.0,0.0,296.49797683745106
17385960.0,0.0,0.0,296.4991815361811
17386020.0,0.0,0.0,296.5004567737131
17386080.0,0.0,0.0,296.50180230127074
17386140.0,0.0,0.0,296.50321795933075
17386200.0,0.0,0.0,296.5047036514647
17386200.0,0.0,0.0,296.5047036514647
17386260.0,0.0,0.0,296.50629372260477
17386320.0,0.0,0.0,296.5079303714788
17386380.0,0.0,0.0,296.5096291187388
17386440.0,0.0,0.0,296.5113951770668
17386500.0,0.0,0.0,296.513230254172
17386560.0,0.0,0.0,296.51513483495376
17386620.0,0.0,0.0,296.5171089278588
17386680.0,0.0,0.0,296.51915229136074
17386740.0,0.0,0.0,296.52126452591324
17386800.0,0.0,0.0,296.5234492414307
17386860.0,0.0,0.0,296.52570678504037
17386920.0,0.0,0.0,296.528035797703
17386980.0,0.0,0.0,296.53043352079675
17387040.0,0.0,0.0,296.53289509694844
17387100.0,0.0,0.0,296.5354103060709
17387100.0,0.0,0.0,296.5354103060709
17387160.0,0.0,0.0,296.5379937425515
17387220.0,0.0,0.0,296.54061153368764
17387280.0,0.0,0.0,296.5432800853652
17387340.0,0.0,0.0,296.54600867192903
17387400.0,0.0,0.0,296.54880370857313
17387460.0,0.0,0.0,296.5516702971727
17387520.0,0.0,0.0,296.55461281253713
17387580.0,0.0,0.0,296.5576351488325
17387640.0,0.0,0.0,296.5607408403209
17387700.0,0.0,0.0,296.5639331315871
17387760.0,0.0,0.0,296.56721502472016
17387820.0,0.0,0.0,296.5705893142507
17387880.0,0.0,0.0,296.5740586145862
17387940.0,0.0,0.0,296.57762538232913
17388000.0,0.0,0.0,296.5812919348495
17388000.0,0.0,0.0,296.5812919348495
17388060.0,0.0,0.0,296.58511197377385
17388120.0,0.0,0.0,296.58900615361637
17388180.0,0.0,0.0,296.5930031586044
17388240.0,0.0,0.0,296.597116103229
17388300.0,0.0,0.0,296.6013524797355
17388360.0,0.0,0.0,296.60571754701544
17388420.0,0.0,0.0,296.61021549075497
17388480.0,0.0,0.0,296.61485230167625
17388540.0,0.0,0.0,296.61963951327704
17388600.0,0.0,0.0,296.624583771662
17388660.0,0.0,0.0,296.62968675656776
17388720.0,0.0,0.0,296.63494854033775
