,speed,mass_flow,T_oa,T_sa,T_roo,P_tot
17479.0,0.0,0.0,290.34999999999997,287.15,293.6633243120763,1.6319440367857713e-56
17480.0,0.0,0.0,290.34999999999997,287.15,293.6443885273636,7.818302200045095e-57
17481.0,0.0,0.0,290.34999999999997,287.15,293.6255137020673,2.880673320786871e-57
17482.0,0.0,0.0,290.34999999999997,287.15,293.60665027276065,1.2427438728194551e-57
17483.0,0.0,0.0,290.34999999999997,287.15,293.58779459188173,5.647225798369915e-58
17484.0,0.0,0.0,290.34999999999997,287.15,293.56897900587927,3.49174865586699e-59
17485.0,0.0,0.0,290.34999999999997,287.15,293.5501400513404,2.3805699367292316e-62
17486.0,0.0,0.0,290.34999999999997,287.15,293.53120253718356,5.590519733289776e-66
17487.0,0.0,0.0,290.34999999999997,287.15,293.51260402493585,4.443519023114912e-70
17488.0,0.0,0.0,290.34999999999997,287.15,293.4954362593342,1.2740441867512242e-73
17489.0,0.0,0.0,290.34999999999997,287.15,293.48091777029725,8.599826782469921e-77
17490.0,0.0,0.0,290.34999999999997,287.15,293.46977971639967,2.678385459279922e-80
17491.0,0.0,0.0,290.3500260897983,287.15,293.4632112964674,2.967567508528644e-84
17492.0,0.0,0.0,290.3765350719919,287.15,293.46456906287324,3.936849976376144e-88
17493.0,0.0,0.0,290.51272390354757,287.15,293.48221266776915,2.984626198200154e-91
17494.0,0.0,0.0,290.7121790402551,287.15,293.5212385006688,8.620829991152926e-95
17495.0,0.045364924885539844,0.024949837886475548,290.8881935065006,287.15,293.3185474657391,49.67629259798922
17496.0,0.15089054002878252,0.08298927900063895,290.968047631199,287.15,292.3681973558335,146.97207352605938
17497.0,0.23595242217394777,0.12977387419465322,290.967473339572,287.15,292.02442745951913,202.90766317093798
17498.0,0.6144451696851968,0.3379450027876028,290.9393103891615,287.15,290.4873033063485,422.5603820917492
17499.0,0.18899715974048184,0.10394907043395371,290.93260235964624,287.15,291.6306773421308,155.45036906106245
17500.0,0.19031823015357927,0.10467504020893534,290.98334033592215,287.15,291.9445749826339,171.08872755643227
17501.0,0.3131184119346343,0.1722151394568236,291.0725664402244,287.15,291.6098776159387,258.27468278878837
17502.0,0.6317735719280625,0.3474754466385475,291.1937487498453,287.15,290.49530284681055,436.9067479480785
17503.0,0.3465229111768852,0.19058718907549965,291.3514457125905,287.15,291.14199683545945,258.7903697635883
17504.0,0.045173389183675874,0.02484534824070894,291.5583852060824,287.15,293.35372874235577,45.8939047694797
17505.0,0.15175512718199338,0.08346532673955916,291.8339278170593,287.15,294.2109852184671,183.58019288164766
17506.0,0.6607354026226354,0.3634050116345873,292.13977282215853,287.15,291.53675324382425,581.337090303258
17507.0,0.9207396870229004,0.5064074124237378,292.4222592779137,287.15,290.65161111858964,735.5345584871252
17508.0,0.920034351530218,0.5060188351341378,292.63474535045356,287.15,290.6378094345308,732.5188775957071
17509.0,0.728871627345968,0.40087913690630034,292.7829719332926,287.15,291.07783549406133,599.056289105582
17510.0,0.32832497752517714,0.18057919736924033,292.9084386867355,287.15,292.47564772345567,323.425853705515
17511.0,0.1450918272715627,0.07980049039235201,293.0538113929748,287.15,293.9755633194839,184.5973201083476
17512.0,0.3247547140773396,0.17861498726703667,293.25187779124917,287.15,293.3440838035719,375.1407284143049
17513.0,0.6232843675384636,0.3428063625063604,293.491676140606,287.15,291.98366250655965,599.1339025643866
17514.0,0.7968362596589579,0.4382761766042386,293.76553076751514,287.15,291.32845310153726,707.9963003517845
17515.0,0.45836654294017437,0.25210231048846904,294.0734878581757,287.15,292.3786186429485,459.3647184961466
17516.0,0.3744850105645235,0.20596666342229575,294.4252137737054,287.15,293.06393725131096,421.17055011051895
17517.0,0.4251892774690748,0.23385395017135105,294.84488937163053,287.15,292.94201007369423,467.0759762587255
17518.0,0.17273937275957132,0.09500666137344707,295.2987488838214,287.15,294.667578035563,240.84177313330832
17519.0,0.41232552007250656,0.2267796454308958,295.7362158466924,287.15,293.72462565584834,512.4482052485201
17520.0,0.5246005125495649,0.288530268988006,296.1273150817876,287.15,293.0313098116191,599.2404417078965
17521.0,0.5202447757271363,0.2861346534484758,296.50128105913063,287.15,293.220311757904,608.8738787024109
17522.0,0.8099394588134449,0.445466593747765,296.8177603287621,287.15,292.18972612661247,852.2141044173896
17523.0,0.5443262622887588,0.29937893651063163,297.010253502988,287.15,293.0657523440272,624.4171506421978
17524.0,0.3753832118401272,0.2064608475649071,297.04990926007406,287.15,294.0664480903159,492.2043429132238
17525.0,0.43483187291154624,0.2391575385949083,297.04999999999995,287.15,294.0420375644023,570.0891334556889
17526.0,0.6465793076653826,0.3556185790055592,297.04999999999995,287.15,293.0788886188722,760.4347346882546
17527.0,0.6092694197737842,0.3350978151120893,297.04999999999995,287.15,293.1246744808177,716.6584167923363
17528.0,0.5463299157199987,0.3004810229433754,297.04999999999995,287.15,293.4772909609862,670.9176863037266
