,Tz_1,Tz_2,Tz_3,Tz_4,time,Tz,To_1,To_2,To_3,To_4,To,T_set
17391.0,16.535388890114064,16.426558505571222,16.255289882891248,16.244326292401468,17391.0,16.60081042738267,16.172815674936317,16.264640605552643,16.360212434808716,16.43999524489334,16.11289986779383,31.22624860209754
17392.0,16.60081042738267,16.535388890114064,16.426558505571222,16.255289882891248,17392.0,16.64040893743629,16.11289986779383,16.172815674936317,16.264640605552643,16.360212434808716,16.10003123379613,31.22624860209754
17393.0,16.64040893743629,16.60081042738267,16.535388890114064,16.426558505571222,17393.0,16.665376318721314,16.10003123379613,16.11289986779383,16.172815674936317,16.264640605552643,16.100000000000023,31.22624860209754
17394.0,16.665376318721314,16.64040893743629,16.60081042738267,16.535388890114064,17394.0,16.682081415154528,16.100000000000023,16.10003123379613,16.11289986779383,16.172815674936317,16.100000000000023,31.22624860209754
17395.0,16.682081415154528,16.665376318721314,16.64040893743629,16.60081042738267,17395.0,16.69442836120311,16.100000000000023,16.100000000000023,16.10003123379613,16.11289986779383,16.100000000000023,31.22624860209754
17396.0,16.69442836120311,16.682081415154528,16.665376318721314,16.64040893743629,17396.0,16.705195486098717,16.100000000000023,16.100000000000023,16.100000000000023,16.10003123379613,16.100000000000023,31.22624860209754
17397.0,16.705195486098717,16.69442836120311,16.682081415154528,16.665376318721314,17397.0,16.71745625729062,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,31.022641747808848
17398.0,16.71745625729062,16.705195486098717,16.69442836120311,16.682081415154528,17398.0,16.735455787960746,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,30.408080589610847
17399.0,16.735455787960746,16.71745625729062,16.705195486098717,16.69442836120311,17399.0,16.765503134536516,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,30.358026518043857
17400.0,16.765503134536516,16.735455787960746,16.71745625729062,16.705195486098717,17400.0,16.816694976651434,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,30.358026518043857
17401.0,16.816694976651434,16.765503134536516,16.735455787960746,16.71745625729062,17401.0,16.899545089687308,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,30.358026518043857
17402.0,16.899545089687308,16.816694976651434,16.765503134536516,16.735455787960746,17402.0,17.020294996342955,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,30.358026518043857
17403.0,17.020294996342955,16.899545089687308,16.816694976651434,16.765503134536516,17403.0,17.177551404252654,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,30.358026518043857
17404.0,17.177551404252654,17.020294996342955,16.899545089687308,16.816694976651434,17404.0,17.17899697266148,16.100000000000023,16.100000000000023,16.100000000000023,16.100000000000023,16.12275131410553,30.358026518043857
17405.0,17.17899697266148,17.177551404252654,17.020294996342955,16.899545089687308,17405.0,17.088351181201347,16.12275131410553,16.100000000000023,16.100000000000023,16.100000000000023,16.242325825143894,30.358026518043857
17406.0,17.088351181201347,17.17899697266148,17.177551404252654,17.020294996342955,17406.0,17.120466625385973,16.242325825143894,16.12275131410553,16.100000000000023,16.100000000000023,16.428229005736227,30.369695523596988
17407.0,17.120466625385973,17.088351181201347,17.17899697266148,17.177551404252654,17407.0,17.232825409756856,16.428229005736227,16.242325825143894,16.12275131410553,16.100000000000023,16.61632364079088,30.405547982858025
