,P_coo,P_coo_1,P_coo_2,P_coo_3,P_coo_4,T_roo,T_roo_1,T_roo_2,T_roo_3,T_roo_4,T_set,h,T_oa
18154.0,998.5223694585006,1064.116496004547,1129.3824189145669,1214.5087916728155,1863.8452333493997,15.300811334925413,15.53780445484773,15.837835105794909,16.283843459632124,17.41633105017388,14.303750258888329,2,21.526259367813566
18155.0,944.6022785478024,998.5223694585006,1064.116496004547,1129.3824189145669,1214.5087916728155,15.106383534942267,15.300811334925413,15.53780445484773,15.837835105794909,16.283843459632124,14.303750258888329,2,21.668211690249393
18156.0,910.9338112673626,944.6022785478024,998.5223694585006,1064.116496004547,1129.3824189145669,14.943106352898042,15.106383534942267,15.300811334925413,15.53780445484773,15.837835105794909,14.303750258888329,3,21.672248069324837
18157.0,878.654149644472,910.9338112673626,944.6022785478024,998.5223694585006,1064.116496004547,14.801177980484567,14.943106352898042,15.106383534942267,15.300811334925413,15.53780445484773,14.303750258888329,3,21.531116558574922
18158.0,843.1666128854878,878.654149644472,910.9338112673626,944.6022785478024,998.5223694585006,14.675304603815846,14.801177980484567,14.943106352898042,15.106383534942267,15.300811334925413,14.303750258888329,3,21.327594846736986
18159.0,814.3707083623875,843.1666128854878,878.654149644472,910.9338112673626,944.6022785478024,14.564114016149574,14.675304603815846,14.801177980484567,14.943106352898042,15.106383534942267,14.303750258888329,3,21.155222696304918
18160.0,286.70372693990936,814.3707083623875,843.1666128854878,878.654149644472,910.9338112673626,14.896884499385521,14.564114016149574,14.675304603815846,14.801177980484567,14.943106352898042,16.813553628572606,4,21.07910434871303
18161.0,0.0,286.70372693990936,814.3707083623875,843.1666128854878,878.654149644472,15.842123256077912,14.896884499385521,14.564114016149574,14.675304603815846,14.801177980484567,24.343524663477467,4,21.046316004822984
18162.0,0.0,0.0,286.70372693990936,814.3707083623875,843.1666128854878,16.4470513395662,15.842123256077912,14.896884499385521,14.564114016149574,14.675304603815846,25.013032661967145,4,21.039882233915705
18163.0,0.0,0.0,0.0,286.70372693990936,814.3707083623875,16.87092777505444,16.4470513395662,15.842123256077912,14.896884499385521,14.564114016149574,25.013032661967145,4,21.069098322002276
18164.0,0.0,0.0,0.0,0.0,286.70372693990936,17.20295688786541,16.87092777505444,16.4470513395662,15.842123256077912,14.896884499385521,25.013032661967145,5,21.155233322135814
18165.0,0.0,0.0,0.0,0.0,0.0,17.489244253416246,17.20295688786541,16.87092777505444,16.4470513395662,15.842123256077912,25.013032661967145,5,21.32825776413705
18166.0,0.0,0.0,0.0,0.0,0.0,17.75582281986641,17.489244253416246,17.20295688786541,16.87092777505444,16.4470513395662,25.013032661967145,5,21.527420297692117
18167.0,11.65762820822481,0.0,0.0,0.0,0.0,18.009848387899694,17.75582281986641,17.489244253416246,17.20295688786541,16.87092777505444,22.489300701280115,5,21.668576568156197
18168.0,1595.6122269066243,11.65762820822481,0.0,0.0,0.0,16.31975088532306,18.009848387899694,17.75582281986641,17.489244253416246,17.20295688786541,14.58234462225812,6,21.69993117058044
18169.0,967.389148435754,1595.6122269066243,11.65762820822481,0.0,0.0,15.024017812771888,16.31975088532306,18.009848387899694,17.75582281986641,17.489244253416246,13.872739065041742,6,21.700000000000045
18170.0,895.5884019957196,967.389148435754,1595.6122269066243,11.65762820822481,0.0,14.769188375363285,15.024017812771888,16.31975088532306,18.009848387899694,17.75582281986641,13.872739065041742,6,21.700000000000045
18171.0,874.826977436346,895.5884019957196,967.389148435754,1595.6122269066243,11.65762820822481,14.699146731732526,14.769188375363285,15.024017812771888,16.31975088532306,18.009848387899694,13.872739065041742,6,21.700000000000045
18172.0,341.25674265754054,874.826977436346,895.5884019957196,967.389148435754,1595.6122269066243,15.194070637293237,14.699146731732526,14.769188375363285,15.024017812771888,16.31975088532306,18.02851003125471,7,21.700000000000045
18173.0,170.76211376526282,341.25674265754054,874.826977436346,895.5884019957196,967.389148435754,16.15012962150871,15.194070637293237,14.699146731732526,14.769188375363285,15.024017812771888,30.714591609757463,7,21.700000000000045
18174.0,198.1474337880841,170.76211376526282,341.25674265754054,874.826977436346,895.5884019957196,16.75818508636837,16.15012962150871,15.194070637293237,14.699146731732526,14.769188375363285,31.752280006454555,7,21.700000000000045
18175.0,222.33608958000184,198.1474337880841,170.76211376526282,341.25674265754054,874.826977436346,17.206483907148197,16.75818508636837,16.15012962150871,15.194070637293237,14.699146731732526,31.752280006454555,7,21.700000000000045
18176.0,241.3541724356226,222.33608958000184,198.1474337880841,170.76211376526282,341.25674265754054,17.689394032885787,17.206483907148197,16.75818508636837,16.15012962150871,15.194070637293237,31.752280006454555,8,21.564294150800947
18177.0,253.7872387164525,241.3541724356226,222.33608958000184,198.1474337880841,170.76211376526282,18.21148829461771,17.689394032885787,17.206483907148197,16.75818508636837,16.15012962150871,31.752280006454555,8,20.898710713283265
18178.0,256.0229328041053,253.7872387164525,241.3541724356226,222.33608958000184,198.1474337880841,18.658570350634193,18.21148829461771,17.689394032885787,17.206483907148197,16.75818508636837,31.752280006454555,8,20.01628700849659
18179.0,253.60124543569955,256.0229328041053,253.7872387164525,241.3541724356226,222.33608958000184,19.061818779463465,18.658570350634193,18.21148829461771,17.689394032885787,17.206483907148197,31.752280006454555,8,19.44731728937711
18180.0,255.538364100176,253.60124543569955,256.0229328041053,253.7872387164525,241.3541724356226,19.46382210190245,19.061818779463465,18.658570350634193,18.21148829461771,17.689394032885787,31.752280006454555,9,19.530057766200855
18181.0,262.34955776434833,255.538364100176,253.60124543569955,256.0229328041053,253.7872387164525,19.895432348979682,19.46382210190245,19.061818779463465,18.658570350634193,18.21148829461771,32.096079930196424,9,19.825777926844694
18182.0,270.5404902134916,262.34955776434833,255.538364100176,253.60124543569955,256.0229328041053,20.360461769460358,19.895432348979682,19.46382210190245,19.061818779463465,18.658570350634193,33.182345941355095,9,20.13761462599382
18183.0,274.61260493440324,270.5404902134916,262.34955776434833,255.538364100176,253.60124543569955,20.84799825690925,20.360461769460358,19.895432348979682,19.46382210190245,19.061818779463465,33.28055395750516,9,20.444091705385233
18184.0,280.30084261465674,274.61260493440324,270.5404902134916,262.34955776434833,255.538364100176,21.343343523131637,20.84799825690925,20.360461769460358,19.895432348979682,19.46382210190245,33.28055395750516,10,20.73173359257612
18185.0,291.7395188416263,280.30084261465674,274.61260493440324,270.5404902134916,262.34955776434833,21.834380968981122,21.343343523131637,20.84799825690925,20.360461769460358,19.895432348979682,33.28055395750516,10,21.014466624576016
18186.0,298.9777787879881,291.7395188416263,280.30084261465674,274.61260493440324,270.5404902134916,22.313817790301073,21.834380968981122,21.343343523131637,20.84799825690925,20.360461769460358,33.28055395750516,10,21.29336787514012
18187.0,303.6316035677536,298.9777787879881,291.7395188416263,280.30084261465674,274.61260493440324,22.781416735794892,22.313817790301073,21.834380968981122,21.343343523131637,20.84799825690925,33.28055395750516,10,21.562000171765135
18188.0,306.99508408560155,303.6316035677536,298.9777787879881,291.7395188416263,280.30084261465674,23.24736762948629,22.781416735794892,22.313817790301073,21.834380968981122,21.343343523131637,33.28055395750516,11,21.770350109479864
18189.0,308.3282678728593,306.99508408560155,303.6316035677536,298.9777787879881,291.7395188416263,23.715427430457225,23.24736762948629,22.781416735794892,22.313817790301073,21.834380968981122,30.34329829624653,11,21.782623266666235
18190.0,1813.3725791344405,308.3282678728593,306.99508408560155,303.6316035677536,298.9777787879881,21.445126815817844,23.715427430457225,23.24736762948629,22.781416735794892,22.313817790301073,21.25242659144294,11,21.690385567135024
18191.0,715.1062034152071,1813.3725791344405,308.3282678728593,306.99508408560155,303.6316035677536,20.455662190337705,21.445126815817844,23.715427430457225,23.24736762948629,22.781416735794892,20.455627550815052,11,21.654965304696418
18192.0,719.187295737125,715.1062034152071,1813.3725791344405,308.3282678728593,306.99508408560155,20.45607840356098,20.455662190337705,21.445126815817844,23.715427430457225,23.24736762948629,20.455627550815052,12,21.803480388275318
18193.0,641.0480653378601,719.187295737125,715.1062034152071,1813.3725791344405,308.3282678728593,21.11435705049786,20.45607840356098,20.455662190337705,21.445126815817844,23.715427430457225,21.106977236698242,12,22.08325321265852
18194.0,397.68697382117386,641.0480653378601,719.187295737125,715.1062034152071,1813.3725791344405,23.031266037974092,21.11435705049786,20.45607840356098,20.455662190337705,21.445126815817844,23.07290623430214,12,22.401489716225
18195.0,674.172120661095,397.68697382117386,641.0480653378601,719.187295737125,715.1062034152071,23.253578533923644,23.031266037974092,21.11435705049786,20.45607840356098,20.455662190337705,23.253022936460184,12,22.683275628485717
18196.0,775.9348219719199,674.172120661095,397.68697382117386,641.0480653378601,719.187295737125,23.253408027607634,23.253578533923644,23.031266037974092,21.11435705049786,20.45607840356098,23.253022936460184,13,22.877799423332135
18197.0,847.5054006094638,775.9348219719199,674.172120661095,397.68697382117386,641.0480653378601,23.253267643223467,23.253408027607634,23.253578533923644,23.031266037974092,21.11435705049786,23.253022936460184,13,23.032936806275814
18198.0,898.807225246042,847.5054006094638,775.9348219719199,674.172120661095,397.68697382117386,23.253146644537253,23.253267643223467,23.253408027607634,23.253578533923644,23.031266037974092,23.253022936460184,13,23.16350209714284
18199.0,820.1153438018329,898.807225246042,847.5054006094638,775.9348219719199,674.172120661095,23.25303254040074,23.253146644537253,23.253267643223467,23.253408027607634,23.253578533923644,23.253022936460184,13,23.26154278834889
18200.0,668.1550682052203,820.1153438018329,898.807225246042,847.5054006094638,775.9348219719199,23.2530098166564,23.25303254040074,23.253146644537253,23.253267643223467,23.253408027607634,23.253022936460184,14,23.322398656256098
18201.0,643.5183075152142,668.1550682052203,820.1153438018329,898.807225246042,847.5054006094638,23.252942217421946,23.2530098166564,23.25303254040074,23.253146644537253,23.253267643223467,23.253022936460184,14,23.353307955122432
18202.0,622.7019510559084,643.5183075152142,668.1550682052203,820.1153438018329,898.807225246042,23.252885863488757,23.252942217421946,23.2530098166564,23.25303254040074,23.253146644537253,23.253022936460184,14,23.355525729103476
18203.0,598.4015775091444,622.7019510559084,643.5183075152142,668.1550682052203,820.1153438018329,23.25283070790374,23.252885863488757,23.252942217421946,23.2530098166564,23.25303254040074,23.253022936460184,14,23.32694013246737
18204.0,410.22759959251255,598.4015775091444,622.7019510559084,643.5183075152142,668.1550682052203,23.83742610911594,23.25283070790374,23.252885863488757,23.252942217421946,23.2530098166564,24.939769263697315,15,23.25940254509328
18205.0,301.7636461494154,410.22759959251255,598.4015775091444,622.7019510559084,643.5183075152142,25.257536650968348,23.83742610911594,23.25283070790374,23.252885863488757,23.252942217421946,30.044825458565697,15,23.13884762899096
18206.0,304.28628400234953,301.7636461494154,410.22759959251255,598.4015775091444,622.7019510559084,26.001590785098813,25.257536650968348,23.83742610911594,23.25283070790374,23.252885863488757,30.51716069849732,15,22.99212139293809
18207.0,303.7875296986826,304.28628400234953,301.7636461494154,410.22759959251255,598.4015775091444,26.401243796549238,26.001590785098813,25.257536650968348,23.83742610911594,23.25283070790374,30.51716069849732,15,22.857340149736274
18208.0,301.66122548242805,303.7875296986826,304.28628400234953,301.7636461494154,410.22759959251255,26.618982297112495,26.401243796549238,26.001590785098813,25.257536650968348,23.83742610911594,30.51716069849732,16,22.780126607728164
18209.0,299.2632644877473,301.66122548242805,303.7875296986826,304.28628400234953,301.7636461494154,26.727916373519065,26.618982297112495,26.401243796549238,26.001590785098813,25.257536650968348,30.51716069849732,16,22.79359260270934
18210.0,297.2354980726362,299.2632644877473,301.66122548242805,303.7875296986826,304.28628400234953,26.769558752463524,26.727916373519065,26.618982297112495,26.401243796549238,26.001590785098813,30.51716069849732,16,22.83943850665861
18211.0,295.07711696132725,297.2354980726362,299.2632644877473,301.66122548242805,303.7875296986826,26.76756664661781,26.769558752463524,26.727916373519065,26.618982297112495,26.401243796549238,30.939715685193562,16,22.83866797758401
