,P_coo,P_fan,P_hea,P_pum,P_tot,T_oa,T_roo,T_set
17917.0,431.59462423475776,0.8739606953892678,0.0,5.60152564407184,438.0701105742188,305.35586010505614,301.49829459648475,303.55024387550014
17918.0,453.47433167752877,0.8739606953892678,0.0,5.60152564407184,459.9498180169899,305.40157223276833,302.4297726394873,303.8490812691829
17919.0,469.71063769209655,0.8739606953892678,0.0,5.60152564407184,476.1861240315577,305.3941938353736,302.91817444993234,303.8490812691829
17920.0,478.8772760388796,0.8739606953892678,0.0,5.60152564407184,485.35276237834074,305.26498302442866,303.1932702251962,303.8490812691829
17921.0,482.38967474234255,0.8739606953892678,0.0,5.60152564407184,488.86516108180365,305.0178777493041,303.35107160959654,303.8490812691829
17922.0,482.12676986523337,0.8739606953892678,0.0,5.60152564407184,488.6022562046944,304.7099585245342,303.4380679974333,303.8490812691829
17923.0,479.84942637034885,0.8739606953892678,0.0,5.60152564407184,486.32491270980995,304.40005986297723,303.4768507969429,303.8490812691829
17924.0,477.3063084908408,0.8739606953892678,0.0,5.60152564407184,483.7817948303019,304.16074925735535,303.4772263451698,303.8490812691829
17925.0,476.0716293177559,0.8739606953892678,0.0,5.60152564407184,482.5471156572169,304.052549889132,303.4441510355204,303.8490812691829
17926.0,475.70845585454816,0.8739606953892678,0.0,5.60152564407184,482.1839421940093,303.99422268766165,303.38036004715775,303.8490812691829
17927.0,1463.64663277188,106.510648016091,0.0,5.60152564407184,1575.7588064320428,303.87032039164717,301.8729363570424,301.9942116845906
17928.0,3138.6239316394744,633.0021632738819,0.0,5.60152564407184,3777.227620557429,303.3062356553875,297.60433932598437,296.4260232037101
17929.0,2153.337144633124,294.0336078170414,0.0,5.60152564407184,2452.972278094237,301.4595727326551,296.0150868418607,295.94762666077986
17930.0,872.0964971596475,27.38085349217431,0.0,5.60152564407184,905.0788762958935,298.926624087129,295.94614813085576,295.94762666077986
17931.0,557.0417405165008,12.75430393165428,0.0,5.60152564407184,575.3975700922268,296.72616675040285,295.946457627882,295.94762666077986
17932.0,436.51248551810204,6.1092890793232835,0.0,5.60152564407184,448.2233002414972,295.5640603222661,295.94675454067,295.94762666077986
17933.0,132.63398044894862,1.1330351887773402,0.0,1.6135338504036594,135.38054948812962,294.8279283150633,296.4953034978715,297.8456591421037
17934.0,0.0,0.0,0.0,0.0,0.0,294.2576803642056,297.4608969405089,303.6225872605294
17935.0,0.0,0.0,0.0,0.0,0.0,293.8777373385216,297.89779986448417,304.06717779367216
17936.0,0.0,0.0,0.0,0.0,0.0,293.71002400336454,298.07213358780643,304.06717779367216
17937.0,0.0,0.0,0.0,0.0,0.0,293.7222102069124,298.1100682852806,304.06717779367216
17938.0,0.0,0.0,0.0,0.0,0.0,293.79712991469864,298.0725265438338,304.06717779367216
17939.0,0.0,0.0,0.0,0.0,0.0,293.8050912016988,297.99209388974236,304.06717779367216
17940.0,0.0,0.0,0.0,0.0,0.0,293.56637057288214,297.8805037464089,304.06717779367216
17941.0,0.0,0.0,0.0,0.0,0.0,292.90876724701553,297.73124174845907,304.06717779367216
17942.0,0.0,0.0,0.0,0.0,0.0,292.1083257372565,297.54002874864034,304.06717779367216
17943.0,0.0,0.0,0.0,0.0,0.0,291.5532196144335,297.3158361306978,304.06717779367216
17944.0,0.0,0.0,0.0,0.0,0.0,291.58099097884866,297.0799924326763,304.06717779367216
17945.0,0.0,0.0,0.0,0.0,0.0,292.14457169572427,296.8583610031617,304.06717779367216
17946.0,0.0,0.0,0.0,0.0,0.0,292.9154108854565,296.6664737040902,303.6180094323629
17947.0,0.0,0.0,0.0,0.0,0.0,293.55147346248685,296.50527161539543,302.26427863444894
17948.0,0.0,0.0,0.0,0.0,0.0,293.8288696899226,296.36402990753754,302.1407453852238
17949.0,0.0,0.0,0.0,0.0,0.0,293.99138736397094,296.2328396198089,302.1407453852238
17950.0,0.0,0.0,0.0,0.0,0.0,294.12918466305473,296.11017440432164,302.1407453852238
17951.0,0.0,0.0,0.0,0.0,0.0,294.2220882207841,295.9956317783215,302.1407453852238
17952.0,0.0,0.0,0.0,0.0,0.0,294.261419728376,295.88787140043127,302.1407453852238
17953.0,0.0,0.0,0.0,0.0,0.0,294.2794841674261,295.7852294473072,302.1407453852238
17954.0,0.0,0.0,0.0,0.0,0.0,294.2831780295865,295.68616865651285,302.1407453852238
17955.0,0.0,0.0,0.0,0.0,0.0,294.2671269804407,295.5889752582721,302.1407453852238
17956.0,0.0,0.0,0.0,0.0,0.0,294.21071971148007,295.49244390488184,302.1407453852238
17957.0,0.0,0.0,0.0,0.0,0.0,294.0715776636587,295.3958059247163,302.1407453852238
